Index,Method,Epoch,Submitted By,Model,LR,WD,Forget Quality,Model Utility,Prob. Retain,ROUGE Retain,Truth Ratio Retain,Prob. Real Authors,ROUGE Real Authors,Truth Ratio Real Authors,Prob. Real World,ROUGE Real World,Truth Ratio Real World,Prob. Forget,ROUGE Forget,Truth Ratio Forget
0,Finetune Model,-1,Baseline,Phi,2e-05,0.01,2.1942743021891237e-16,0.5220737132035153,0.9260884160508502,0.9292525097192792,0.48268300832084604,0.3773603259680649,0.41566666666666663,0.45600902133986254,0.40899845221380016,0.7773504273504274,0.49233691387660944,0.9282394842423192,0.9248612622630048,0.4833555856680227
1,Retain Model,-1,Baseline,Phi,2e-05,0.01,1,0.5319909117798324,0.9231140312552547,0.9200431185901895,0.4847391599677,0.3841872783056456,0.47533333333333333,0.4638361087966355,0.40808843618921553,0.7556980056980056,0.48826346879862315,0.13490696158672863,0.42786742821792745,0.6288417132144549
2,Grad. Ascent,1,Baseline,Phi,2e-05,0.01,3.709652809739326e-15,0.5204518601194764,0.9064293745572324,0.8941441145895339,0.4717433574381483,0.371466954045295,0.434,0.45002452170153384,0.4104916860029612,0.7816239316239316,0.49566726584334575,0.8805863439737527,0.8396251180609029,0.4987399244001254
3,Grad. Ascent,2,Baseline,Phi,2e-05,0.01,0.0006538374533623971,0.32505774937077236,0.18146219281724862,0.38569013060624663,0.338569173147893,0.32095619572441564,0.23366666666666666,0.3623249412046778,0.37116114304123066,0.6866096866096866,0.430234501215604,0.17665394262143483,0.36615558586075253,0.6395710497396455
4,Grad. Ascent,3,Baseline,Phi,2e-05,0.01,0.00011580724071708764,7.512946472042862e-05,8.387519518500735e-06,0.11782261794356112,0.22204578020819138,0.2519275975811833,0.002,0.32710316410260065,0.22578145637333463,0.025213675213675207,0.2300930473492784,9.385091821583813e-06,0.12099213404728537,0.7025336432745181
5,Grad. Ascent,4,Baseline,Phi,2e-05,0.01,7.903952866429726e-22,0.0,2.1072899499262387e-15,0.02097297831261163,0.09216973300481522,0.27100849439361974,0.0,0.3283564264369145,0.26040168434787847,0.0,0.296256676291959,1.3797199331674886e-15,0.020731955444525805,0.83104789557045
6,Grad. Ascent,5,Baseline,Phi,2e-05,0.01,2.514967868068585e-18,0.0,5.686512849186404e-20,0.0566139607086363,0.09799621605113348,0.27570647756658423,0.0,0.36702134155011656,0.24604971387918886,0.02136752136752136,0.3011904376139224,5.709989255873411e-20,0.054370830190607955,0.7933202149154588
7,Grad. Diff.,1,Baseline,Phi,2e-05,0.01,1.0619204030347365e-16,0.5209785512743803,0.9248335996336308,0.9105613960001328,0.48259934423652795,0.377061056735849,0.41566666666666663,0.4575058819168685,0.40962351649864503,0.7588319088319088,0.4948382230759767,0.9025994860625481,0.8718360467591652,0.48511956934805955
8,Grad. Diff.,2,Baseline,Phi,2e-05,0.01,4.783786471507949e-12,0.46246885496181067,0.6132527465943682,0.5264873975231782,0.46401675006684634,0.37785408407805543,0.33233333333333337,0.45158417082654745,0.40839690826419756,0.696153846153846,0.4949012253834134,0.3878946762398945,0.4518287841156405,0.5059156791034523
9,Grad. Diff.,3,Baseline,Phi,2e-05,0.01,3.3273813118952403e-06,0.39910787673192333,0.4791189330395836,0.4760928537128662,0.4599942873940646,0.37263515450639234,0.19866666666666666,0.43682419732398076,0.4029668763337799,0.5992877492877493,0.49209682841059194,0.11766393219548353,0.3806262956361037,0.5475890179304523
10,Grad. Diff.,4,Baseline,Phi,2e-05,0.01,0.0017015674192205016,0.35125072403653756,0.35745762274559795,0.41381207876917114,0.4589222037646714,0.3753228709124387,0.14366666666666666,0.4479669037226471,0.40274891085620323,0.5294871794871795,0.49979497162634023,0.02718386373266026,0.29820701967042634,0.5632410121243988
11,Grad. Diff.,5,Baseline,Phi,2e-05,0.01,0.020771538379556198,0.31662506803859924,0.2959879461281595,0.37455270916963485,0.4651970401345303,0.3831457882706157,0.11033333333333331,0.4658264700684562,0.40183652258598285,0.5163817663817664,0.5046610566519484,0.0104854642118558,0.23725911865828095,0.5601701747855071
12,Pref. Opt.,1,Baseline,Phi,2e-05,0.01,7.38239365122254e-15,0.5120459728622037,0.8858116278431897,0.7717319443733647,0.4648578258290636,0.3750979164159008,0.414,0.44715370289431156,0.4132149372258189,0.7784900284900285,0.5054912681088888,0.8803792522184439,0.7335223485085623,0.5014080291309166
