Index,Method,Epoch,Submitted By,Model,LR,WD,Forget Quality,Model Utility,Prob. Retain,ROUGE Retain,Truth Ratio Retain,Prob. Real Authors,ROUGE Real Authors,Truth Ratio Real Authors,Prob. Real World,ROUGE Real World,Truth Ratio Real World,Prob. Forget,ROUGE Forget,Truth Ratio Forget
0,Finetune Model,-1,Baseline,LLaMA 2-7B,1e-05,0.01,1.834066410994743e-21,0.6226773637427153,0.9895272273969072,0.9856545937933034,0.47469858801063763,0.45548207783762884,0.9329999999999999,0.5962289157077106,0.41856180755948974,0.8824786324786325,0.5390328416393139,0.9909385566403213,0.985449693916369,0.5159854212808592
1,Retain Model,-1,Baseline,LLaMA 2-7B,1e-05,0.01,1,0.613744995233942,0.9888967275083739,0.9758111850816836,0.47097713402452873,0.434087175400151,0.9229999999999999,0.5706808914420933,0.4143263304391235,0.8974358974358975,0.5441982317366325,0.14756281225669543,0.4082436195223163,0.6740192657877031
2,Grad. Ascent,1,Baseline,LLaMA 2-7B,1e-05,0.01,2.1942743021891237e-16,0.6269273964348965,0.8210499032114303,0.6967473664683093,0.4295557937069344,0.505168359434624,0.943,0.6591336231061837,0.478685379756773,0.9216524216524216,0.6085091204510102,0.7389353978950747,0.59040885036102,0.5949198076291524
3,Grad. Ascent,2,Baseline,LLaMA 2-7B,1e-05,0.01,1.161721406761561e-31,0.0,6.790053646828093e-05,0.00012345679012345666,0.04541293757602166,0.2483656568638272,0.0,0.15535630808979686,0.26037936742224227,0.00712250712250712,0.16126857369252184,6.761970324755308e-05,0.00040259009009009,0.9124060717988668
4,Grad. Ascent,3,Baseline,LLaMA 2-7B,1e-05,0.01,1.415348597545954e-32,0.0,2.9947610381115934e-29,0.0,0.044497565223702254,0.24130091393542255,0.0,0.38248544327335554,0.2603007453584722,0.0,0.39146482060059945,1.81826029512634e-27,0.0020288719332402267,0.8856404556865698
5,Grad. Ascent,4,Baseline,LLaMA 2-7B,1e-05,0.01,6.813596151995703e-39,0.0,1.2049720751682384e-32,0.0,0.04695797470281068,0.23909761219952558,0.0,0.37976074563616247,0.24679863615003672,0.0,0.3799166078023295,7.488727584100664e-33,0.00194261326077466,0.8929100638357892
6,Grad. Ascent,5,Baseline,LLaMA 2-7B,1e-05,0.01,1.4334261764269554e-22,0.0,4.927488202135739e-36,0.0,0.0763287756708789,0.23209401162565726,0.0,0.3680370239716012,0.23932068070274498,0.0,0.38299733186954227,7.700348491069903e-36,0.0017443373987056931,0.8470718835084912
7,Grad. Diff.,1,Baseline,LLaMA 2-7B,1e-05,0.01,2.1857531667946305e-20,0.6282003341510932,0.9608036367802,0.9094457692299227,0.4694987259572409,0.4736271415687449,0.9129999999999999,0.6164888867223018,0.43702570297775695,0.8888888888888888,0.551145594485676,0.8870737428383404,0.757231894245776,0.5307776556603724
8,Grad. Diff.,2,Baseline,LLaMA 2-7B,1e-05,0.01,0.00033397069759294196,0.07407765375022281,0.01072258695886401,0.0870156615843273,0.46335032188327696,0.5059025919974256,0.1728333333333333,0.6423979530486502,0.46556158385992097,0.6548433048433049,0.6295666352270255,0.0003759038991735104,0.0668923800783858,0.5355421828523081
9,Grad. Diff.,3,Baseline,LLaMA 2-7B,1e-05,0.01,5.100356615560927e-17,0.5185060305234307,0.3267413314089894,0.32138766204638025,0.5052906001871599,0.6063370989010282,0.6859999999999999,0.7636217588364563,0.49306952370132334,0.8162393162393162,0.65074307359923,1.3830246365938358e-23,0.003430819078085047,0.7895774621500501
